Database ID,Sale Date,Add Date,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
FAUCTION28221006031402020002167CA01,04/13/2021,03/15/2021,2020-002167-CA-01,2020002167CA01,Accepting Proxy,33483.78,0,254100,Biscayne Cove Condominium Association Inc,Biscayne Cove Condominium Association Inc,HIDDEN,18151 NE 31 CT 717,AVENTURA,33160,28-2210-060-3140,2822100603140
FAUCTION02420312500802019014999CA01,04/14/2021,03/15/2021,2019-014999-CA-01,2019014999CA01,Accepting Proxy,24661.99,0,223885,"WASHINGTON SQUARE CONDOMINIUM ASSOCIATION, INC","WASHINGTON SQUARE CONDOMINIUM ASSOCIATION, INC",HIDDEN,220 WASHINGTON AVE 3D,MIAMI BEACH,33139,02-4203-125-0080,0242031250080
FAUCTION30593600511902019037644CA01,04/19/2021,03/15/2021,2019-037644-CA-01,2019037644CA01,Accepting Proxy,210105.27,0,0,"FLEETWOOD MIAMI GROUP, LLC","FLEETWOOD MIAMI GROUP, LLC",HIDDEN,11841 SW 179 TER,MIAMI,33177,30-5936-005-1190,3059360051190
FAUCTION31221402108802020016110CC23,04/19/2021,03/15/2021,2020-016110-CC-23,2020016110CC23,Accepting Proxy,29883.16,0,342709,Poinciana Island Yacht & Racquet Club Condo Assn ,Poinciana Island Yacht & Racquet Club Condo Assn ,HIDDEN,335 POINCIANA ISLAND DR 1005,SUNNY ISLES BEACH,33160,31-2214-021-0880,3122140210880
FAUCTION30311210602002015017162CA01,04/19/2021,03/16/2021,2015-017162-CA-01,2015017162CA01,Accepting Proxy,108729.15,0,48846,Sunset Palm Villas Condominium Association Inc,Sunset Palm Villas Condominium Association Inc,HIDDEN,224 NW 85 ST 224,MIAMI,33150,30-3112-106-0200,3031121060200
FAUCTION10792000305102019028815CA01,04/19/2021,03/17/2021,2019-028815-CA-01,2019028815CA01,Accepting Proxy,5867.4,0,0,Villages of Homestead Audubon Village Homeowners',Villages of Homestead Audubon Village Homeowners',HIDDEN,1626 BLUEBIRD LANE,HOMESTEAD,33035,10-7920-003-0510,1079200030510
FAUCTION01313703950002020016200CA01,04/19/2021,03/17/2021,2020-016200-CA-01,2020016200CA01,Accepting Proxy,1218623.39,0,1241000,"WILMINGTON SAVINGS FUND SOCIETY, FSB","WILMINGTON SAVINGS FUND SOCIETY, FSB",HIDDEN,851 NE 1 AVE 3011,MIAMI,33132,01-3137-039-5000,0131370395000
FAUCTION04203410206002017018474CA01,04/19/2021,03/17/2021,2017-018474-CA-01,2017018474CA01,Accepting Proxy,150202.99,0,87926,COMPU LINK CORPORATION OF MI,COMPU LINK CORPORATION OF MI,HIDDEN,2158 W 60 ST 13203,HIALEAH,33016,04-2034-102-0600,0420341020600
FAUCTION10792000210602019016143CA01,04/19/2021,03/18/2021,2019-016143-CA-01,2019016143CA01,Accepting Proxy,823532.23,0,84533,DEUTSCHE BANK NATIONAL TRUST COMPANY AS TRUSTEE FO,DEUTSCHE BANK NATIONAL TRUST COMPANY AS TRUSTEE FO,HIDDEN,1451 EGRET RD,HOMESTEAD,33035,10-7920-002-1060,1079200021060
FAUCTION02420322304102020019659CA01,04/19/2021,03/18/2021,2020-019659-CA-01,2020019659CA01,Accepting Proxy,26649.19,0,177441,"The Bentley Condominium Association, Inc.","The Bentley Condominium Association, Inc.",HIDDEN,510 OCEAN DR 217,MIAMI BEACH,33139,02-4203-223-0410,0242032230410
