Database ID,Sale Date,Add Date,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
FAUCTION07220802005402019-011334-CA-01,06/28/2021,06/01/2021,2019-011334-CA-01,2019-011334-CA-01,Accepting Proxy,333678.69,0,305091,"Precision Investments, Inc.","Precision Investments, Inc.",HIDDEN,18131 NE 10 AVE,NORTH MIAMI BEACH,33162,07-2208-020-0540,0722080200540
FAUCTION30201104904702019-027437-CA-01,07/06/2021,06/02/2021,2019-027437-CA-01,2019-027437-CA-01,Accepting Proxy,300291.03,0,214000,TOWD POINT MORTGAGE TRUST 2017 1 US BANK NATIONAL,TOWD POINT MORTGAGE TRUST 2017 1 US BANK NATIONAL,HIDDEN,6965 NW 173 DR 1901,MIAMI,33015,30-2011-049-0470,3020110490470
FAUCTION30491207700402018-029352-CA-01,07/07/2021,06/01/2021,2018-029352-CA-01,2018-029352-CA-01,Accepting Proxy,621314.3,0,381946,U.S. BANK NATIONAL ASSOCIATION (TRUSTEE),U.S. BANK NATIONAL ASSOCIATION (TRUSTEE),HIDDEN,2550 SW 123 AVE,MIAMI,33175,30-4912-077-0040,3049120770040
FAUCTION20501100200602020-002103-CA-01,07/07/2021,06/02/2021,2020-002103-CA-01,2020-002103-CA-01,Accepting Proxy,160183.85,0,675198,"COLLINS AVENUE 18 DEVELOPMENT GROUP, LLC","COLLINS AVENUE 18 DEVELOPMENT GROUP, LLC",HIDDEN,11201 SW 69 AVE,PINECREST,33156,20-5011-002-0060,2050110020060
FAUCTION30691209802802019-016431-CA-01,07/07/2021,06/03/2021,2019-016431-CA-01,2019-016431-CA-01,Accepting Proxy,321165.42,0,127353,"WILMINGTON SAVINGS FUND SOCIETY, FSB","WILMINGTON SAVINGS FUND SOCIETY, FSB",HIDDEN,12424 SW 215 ST,MIAMI,33177,30-6912-098-0280,3069120980280
FAUCTION30592403004002018-020289-CA-01,07/12/2021,06/01/2021,2018-020289-CA-01,2018-020289-CA-01,Canceled,585396,0,357066,DEUTSCHE BANK NATIONAL TRUST COMPANY SOLELY AS TRU,DEUTSCHE BANK NATIONAL TRUST COMPANY SOLELY AS TRU,HIDDEN,14191 SW 125 AVE,MIAMI,33186,30-5924-030-0400,3059240300400
FAUCTION30400403100302020-026997-CA-01,07/12/2021,06/01/2021,2020-026997-CA-01,2020-026997-CA-01,Accepting Proxy,17618.38,0,141750,"Pineside Condominium Association, Inc.","Pineside Condominium Association, Inc.",HIDDEN,8893 FONTAINEBLEAU BLVD 103,MIAMI,33172,30-4004-031-0030,3040040310030
FAUCTION01410304304702019-018460-CA-01,07/12/2021,06/01/2021,2019-018460-CA-01,2019-018460-CA-01,Accepting Proxy,69862.31,0,15220746,"MJM STRUCTURAL CORP., a Florida corporation","MJM STRUCTURAL CORP., a Florida corporation",HIDDEN,514 SW 22 AVE,MIAMI,33135,01-4103-043-0470,0141030430470
FAUCTION30590400206802018-020742-CA-01,07/12/2021,06/01/2021,2018-020742-CA-01,2018-020742-CA-01,Accepting Proxy,328340.29,0,216016,HSBC Bank USA,HSBC Bank USA,HIDDEN,9535 SW 148 AVENUE CIR E,MIAMI,33196,30-5904-002-0680,3059040020680
FAUCTION30590106220502019-034968-CA-01,07/12/2021,06/01/2021,2019-034968-CA-01,2019-034968-CA-01,Accepting Proxy,198101.89,0,142035,"DEUTSCHE BANK NATIONAL TRUST COMPANY, AS TRUSTEE,","DEUTSCHE BANK NATIONAL TRUST COMPANY, AS TRUSTEE,",HIDDEN,11842 SW 99 ST,MIAMI,33186,30-5901-062-2050,3059010622050
FAUCTION33503200707902019-008160-CA-01,07/12/2021,06/01/2021,2019-008160-CA-01,2019-008160-CA-01,Accepting Proxy,278559.93,0,116764,BANK OF NEW YORK MELLON (THE) ,BANK OF NEW YORK MELLON (THE) ,HIDDEN,18170 SW 98 AVE,PALMETTO BAY,33157,33-5032-007-0790,3350320070790
FAUCTION34211100301902017-015711-CA-01,07/12/2021,06/02/2021,2017-015711-CA-01,2017-015711-CA-01,Accepting Proxy,295319.4,0,121599,HMC Assets LLC,HMC Assets LLC,HIDDEN,18012 NW 7 CT,MIAMI GARDENS,33169,34-2111-003-0190,3421110030190
FAUCTION34211000901802020-027524-CA-01,07/12/2021,06/02/2021,2020-027524-CA-01,2020-027524-CA-01,Accepting Proxy,303322.43,0,160294,"US BANK NATIONAL ASSOCIATION AS TRUSTEE,IN TRU","US BANK NATIONAL ASSOCIATION AS TRUSTEE,IN TRU",HIDDEN,2501 NW 182 TER,MIAMI GARDENS,33056,34-2110-009-0180,3421100090180
FAUCTION30200200100302008-073643-CA-01,07/12/2021,06/02/2021,2008-073643-CA-01,2008-073643-CA-01,Accepting Proxy,17920.12,0,386454,"Country Club Of Miami Estates Etc,","Country Club Of Miami Estates Etc,",HIDDEN,19601 E SAINT ANDREWS DR,MIAMI,33015,30-2002-001-0030,3020020010030
FAUCTION07221005101302020-013990-CC-23,07/12/2021,06/04/2021,2020-013990-CC-23,2020-013990-CC-23,Accepting Proxy,39626.79,0,30990,Sunshores Condo Assn Inc,Sunshores Condo Assn Inc,HIDDEN,3527 NE 168 ST 304,NORTH MIAMI BEACH,33160,07-2210-051-0130,0722100510130
FAUCTION33502801800402018-007576-CA-01,07/19/2021,06/02/2021,2018-007576-CA-01,2018-007576-CA-01,Accepting Proxy,246502.64,0,293962,Rose Acceptance Inc,Rose Acceptance Inc,HIDDEN,8800 SW 160 ST,PALMETTO BAY,33157,33-5028-018-0040,3350280180040
FAUCTION01413907607002020-017119-CA-01,07/19/2021,06/02/2021,2020-017119-CA-01,2020-017119-CA-01,Accepting Proxy,1057518.2,0,1009256,3311180 CANADA INC.,3311180 CANADA INC.,HIDDEN,1425 BRICKELL AVE 47C,MIAMI,33131,01-4139-076-0700,0141390760700
FAUCTION30691204303502018-023345-CA-01,07/19/2021,06/04/2021,2018-023345-CA-01,2018-023345-CA-01,Accepting Proxy,236276.27,0,77813,HSBC BANK USA NA ,HSBC BANK USA NA ,HIDDEN,20990 SW 119 CT,MIAMI,33177,30-6912-043-0350,3069120430350
FAUCTION35302101614502017-014985-CA-01,07/19/2021,06/04/2021,2017-014985-CA-01,2017-014985-CA-01,Accepting Proxy,653614.16,0,301480,DEUTSCHE BANK NATIONAL TRUST COMPANY ,DEUTSCHE BANK NATIONAL TRUST COMPANY ,HIDDEN,4631 NW 94 CT,DORAL,33178,35-3021-016-1450,3530210161450
FAUCTION30305310611302020-014263-CA-01,07/28/2021,06/01/2021,2020-014263-CA-01,2020-014263-CA-01,Accepting Proxy,216175.28,0,186000,"Wilmington Trust, National Association, Trustee","Wilmington Trust, National Association, Trustee",HIDDEN,8200 NW 10 ST 1,MIAMI,33126,30-3053-106-1130,3030531061130
FAUCTION35301802704602019-004559-CA-01,08/03/2021,06/02/2021,2019-004559-CA-01,2019-004559-CA-01,Accepting Proxy,721444.55,0,497815,HSBC Bank USA,HSBC Bank USA,HIDDEN,6944 NW 113 PL,DORAL,33178,35-3018-027-0460,3530180270460
FAUCTION07221700819002017-002312-CA-01,08/10/2021,06/02/2021,2017-002312-CA-01,2017-002312-CA-01,Accepting Proxy,270171.12,0,72869,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,1341 NE 153 ST,NORTH MIAMI BEACH,33162,07-2217-008-1900,0722170081900
FAUCTION31221403901602021-003139-CA-01,08/16/2021,06/01/2021,2021-003139-CA-01,2021-003139-CA-01,Accepting Proxy,1249844.56,0,1068000,"JCF PROPERTY, LLC","JCF PROPERTY, LLC",HIDDEN,150 SUNNY ISLES BLVD 1-PH1,SUNNY ISLES BEACH,33160,31-2214-039-0160,3122140390160
