Database ID,Sale Date,Add Date,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
FAUCTION04202707919502020002694CC25,06/01/2021,05/10/2021,2020-002694-CC-25,2020002694CC25,Accepting Proxy,6496,0,60007,"West Palm Villas III Condominium Association, Inc.","West Palm Villas III Condominium Association, Inc.",HIDDEN,2589 W 76 ST 108,HIALEAH,33016,04-2027-079-1950,0420270791950
FAUCTION30302304200102020004926CA01,06/07/2021,05/10/2021,2020-004926-CA-01,2020004926CA01,Accepting Proxy,3786186.59,0,1766370,First Citizens Bank,First Citizens Bank,HIDDEN,4636 NW 74 AVE 1,MIAMI,33166,30-3023-042-0010,3030230420010
FAUCTION04202508609302018021058CA01,06/07/2021,05/10/2021,2018-021058-CA-01,2018021058CA01,Accepting Proxy,253168.81,0,135600,PROF-2013-S3 LEGAL TITLE TRUST IV ,PROF-2013-S3 LEGAL TITLE TRUST IV ,HIDDEN,8011 W 6 AVE K,HIALEAH,33014,04-2025-086-0930,0420250860930
FAUCTION30220600801302021000613CA01,06/09/2021,05/13/2021,2021-000613-CA-01,2021000613CA01,Accepting Proxy,22880.78,0,59600,"STAR LAKES ASSOCIATION, INC.","STAR LAKES ASSOCIATION, INC.",HIDDEN,245 NE 191 ST 3014,MIAMI,33179,30-2206-008-0130,3022060080130
FAUCTION01413811331602019015686CA01,06/14/2021,05/13/2021,2019-015686-CA-01,2019015686CA01,Accepting Proxy,378525.98,0,315152,SPECIALIZED LOAN SERVICING LLC,SPECIALIZED LOAN SERVICING LLC,HIDDEN,31 SE 5 ST 3514,MIAMI,33131,01-4138-113-3160,0141381133160
FAUCTION30312205249802019034051CA01,06/14/2021,05/13/2021,2019-034051-CA-01,2019034051CA01,Accepting Proxy,207440.4,0,0,REGIONS BANK,REGIONS BANK,HIDDEN,,,,30-3122-052-4980,3031220524980
FAUCTION01411007701402017000082CA01,06/14/2021,05/11/2021,2017-000082-CA-01,2017000082CA01,Accepting Proxy,369184.28,0,74960,US BANK NATIONAL ASSOCIATION,US BANK NATIONAL ASSOCIATION,HIDDEN,1912 SW 17 AVE 14,MIAMI,33145,01-4110-077-0140,0141100770140
FAUCTION31221402108802019008334CA01,06/14/2021,05/12/2021,2019-008334-CA-01,2019008334CA01,Accepting Proxy,914554,0,0,"NPL REO HOLDINGS, INC.","NPL REO HOLDINGS, INC.",850000,,,,31-2214-021-0880,3122140210880
FAUCTION06222005520802019008334CA01,06/14/2021,05/12/2021,2019-008334-CA-01,2019008334CA01,Accepting Proxy,914554,0,0,"NPL REO HOLDINGS, INC.","NPL REO HOLDINGS, INC.",850000,,,,06-2220-055-2080,0622200552080
FAUCTION01312508824402020021624CA01,06/14/2021,05/14/2021,2020-021624-CA-01,2020021624CA01,Accepting Proxy,478820.32,0,0,"Vaster Sub II, LLC","Vaster Sub II, LLC",HIDDEN,,,,01-3125-088-2440,0131250882440
