Sale Date,Add Date,Database ID,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
03/22/2021,02/23/2021,FAUCTION08212203910702019003359CC25,2019-003359-CC-25,2019003359CC25,Accepting Proxy,13406,0,136001,"The Mirage at Sailboat Cove Homeowners Association, Inc.","The Mirage at Sailboat Cove Homeowners Association, Inc.",HIDDEN,1823 NW 142 LN,OPA-LOCKA,33054,08-2122-039-1070,0821220391070
03/29/2021,02/23/2021,FAUCTION27202900502302020005430CA01,2020-005430-CA-01,2020005430CA01,Accepting Proxy,193340.62,0,510363,Tcf National Bank,Tcf National Bank,HIDDEN,10462 NW 130 ST,HIALEAH GARDENS,33018,27-2029-005-0230,2720290050230
03/29/2021,02/24/2021,FAUCTION30500209203502019012279CA01,2019-012279-CA-01,2019012279CA01,Accepting Proxy,30535.68,0,232815,DOWNTOWN DADELAND MASTER ASSOCIATION INC,DOWNTOWN DADELAND MASTER ASSOCIATION INC,HIDDEN,7266 SW 88 ST A309,MIAMI,33156,30-5002-092-0350,3050020920350
03/29/2021,02/24/2021,FAUCTION28221007513002019013282CA01,2019-013282-CA-01,2019013282CA01,Accepting Proxy,213729.18,0,246600,BAC Florida Bank,BAC Florida Bank,HIDDEN,1000 ISLAND BLVD 1506,AVENTURA,33160,28-2210-075-1300,2822100751300
03/29/2021,02/22/2021,FAUCTION36600509803202019023604CA01,2019-023604-CA-01,2019023604CA01,Accepting Proxy,204168.74,0,90000,CSMC 2017 RPL1 TRUST,CSMC 2017 RPL1 TRUST,HIDDEN,9760 SW 184 ST C4,CUTLER BAY,33157,36-6005-098-0320,3660050980320
03/29/2021,02/23/2021,FAUCTION02321100206002020003616CA01,2020-003616-CA-01,2020003616CA01,Canceled,19072679.82,0,0,"Lion Financial, LLC","Lion Financial, LLC",HIDDEN,,,,02-3211-002-0600,0232110020600
03/29/2021,02/23/2021,FAUCTION02321100206402020003616CA01,2020-003616-CA-01,2020003616CA01,Canceled,19072679.82,0,0,"Lion Financial, LLC","Lion Financial, LLC",HIDDEN,,,,02-3211-002-0640,0232110020640
03/29/2021,02/23/2021,FAUCTION02321100206502020003616CA01,2020-003616-CA-01,2020003616CA01,Canceled,19072679.82,0,0,"Lion Financial, LLC","Lion Financial, LLC",HIDDEN,,,,02-3211-002-0650,0232110020650
03/29/2021,02/23/2021,FAUCTION02321100206602020003616CA01,2020-003616-CA-01,2020003616CA01,Canceled,19072679.82,0,0,"Lion Financial, LLC","Lion Financial, LLC",HIDDEN,,,,02-3211-002-0660,0232110020660
03/31/2021,02/24/2021,FAUCTION30590501303602020018630CC25,2020-018630-CC-25,2020018630CC25,Accepting Proxy,6970,0,0,"Association, Inc., Forest Lakes Master","Association, Inc., Forest Lakes Master",HIDDEN,,,,30-5905-013-0360,3059050130360
03/31/2021,02/25/2021,FAUCTION30592601103002019031500CA01,2019-031500-CA-01,2019031500CA01,Accepting Proxy,184800.61,0,116508,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,15510 SW 133 PL 2506,MIAMI,33177,30-5926-011-0300,3059260110300
03/31/2021,02/25/2021,FAUCTION01312401805912018037372CA01,2018-037372-CA-01,2018037372CA01,Accepting Proxy,281159.89,0,295785,M&M Private Lending Group LLC,M&M Private Lending Group LLC,HIDDEN,215 NW 48 ST,MIAMI,33127,01-3124-018-0591,0131240180591
03/31/2021,02/26/2021,FAUCTION01400101702202019036007CA01,2019-036007-CA-01,2019036007CA01,Accepting Proxy,369215.78,0,462665,"CALEPA, LLC.","CALEPA, LLC.",HIDDEN,5757 SW 3 ST,MIAMI,33144,01-4001-017-0220,0140010170220
03/31/2021,02/26/2021,FAUCTION30123105607102019030398CA01,2019-030398-CA-01,2019030398CA01,Accepting Proxy,14122.29,0,108900,"Quatraine Homeowners' Association, Inc.","Quatraine Homeowners' Association, Inc.",HIDDEN,20320 NE 3 CT 10,MIAMI,33179,30-1231-056-0710,3012310560710
03/31/2021,02/26/2021,FAUCTION30693402019602015025194CA01,2015-025194-CA-01,2015025194CA01,Accepting Proxy,38321.25,0,73516,Riverside Villas at Biscayne National Park POA Inc,Riverside Villas at Biscayne National Park POA Inc,HIDDEN,13840 SW 275 ST,HOMESTEAD,33032,30-6934-020-1960,3069340201960
03/31/2021,02/26/2021,FAUCTION36600801201402015008941CA01,2015-008941-CA-01,2015008941CA01,Accepting Proxy,714549.9,0,250515,US Bank National Association ,US Bank National Association ,HIDDEN,20211 SW 103 AVE,MIAMI,33189,36-6008-012-0140,3660080120140
03/31/2021,02/26/2021,FAUCTION30201201209702016026912CA01,2016-026912-CA-01,2016026912CA01,Accepting Proxy,170560.13,0,0,"JPMORGAN CHASE BANK, N.A.","JPMORGAN CHASE BANK, N.A.",HIDDEN,,,,30-2012-012-0970,3020120120970
04/05/2021,02/23/2021,FAUCTION35300801007702020012775CA01,2020-012775-CA-01,2020012775CA01,Accepting Proxy,490342.07,0,415000,Wilmington Trust National Association ,Wilmington Trust National Association ,HIDDEN,7751 NW 107 AVE 811,DORAL,33178,35-3008-010-0770,3530080100770
