Database ID,Sale Date,Add Date,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
FAUCTION35302102005102020024650CA01,06/23/2021,05/24/2021,2020-024650-CA-01,2020024650CA01,Accepting Proxy,85327.85,0,100462,"Jaki Holding, LLC","Jaki Holding, LLC",HIDDEN,5300 NW 87 AVE 403,DORAL,33178,35-3021-020-0510,3530210200510
FAUCTION06222103608402019029993CA01,06/23/2021,05/26/2021,2019-029993-CA-01,2019029993CA01,Accepting Proxy,51942.3,0,171787,ONE FIFTY ONE AT BISCAYNE CONDOMINIUM ASSOCIATION,ONE FIFTY ONE AT BISCAYNE CONDOMINIUM ASSOCIATION,HIDDEN,15051 ROYAL OAKS LN 904,NORTH MIAMI,33181,06-2221-036-0840,0622210360840
FAUCTION30492200107202020026432CA01,06/28/2021,05/25/2021,2020-026432-CA-01,2020026432CA01,Accepting Proxy,347725.42,0,111553,"U.S. BANK, NATIONAL ASSOCIATION AS LEGAL TITLE TRU","U.S. BANK, NATIONAL ASSOCIATION AS LEGAL TITLE TRU",HIDDEN,5410 SW 138 AVE,MIAMI,33175,30-4922-001-0720,3049220010720
FAUCTION01413810202602021004939CA01,06/28/2021,05/25/2021,2021-004939-CA-01,2021004939CA01,Accepting Proxy,893453.29,0,174860,AJAR Holdings LLC,AJAR Holdings LLC,HIDDEN,280 SW 20 RD 605,MIAMI,33129,01-4138-102-0260,0141381020260
FAUCTION30402309505402020021187CA01,06/28/2021,05/25/2021,2020-021187-CA-01,2020021187CA01,Accepting Proxy,195457.82,0,0,WILMINGTON SAVINGS FUND SOCIETY FSB,WILMINGTON SAVINGS FUND SOCIETY FSB,HIDDEN,,,,30-4023-095-0540,3040230950540
FAUCTION01411000902512020017029CA01,06/28/2021,05/27/2021,2020-017029-CA-01,2020017029CA01,Accepting Proxy,0,0,0,"KATALOX INVESTMENTS, LLC","KATALOX INVESTMENTS, LLC",HIDDEN,,,,01-4110-009-0251,0141100090251
FAUCTION01412101204422020017029CA01,06/28/2021,05/27/2021,2020-017029-CA-01,2020017029CA01,Accepting Proxy,,0,0,"KATALOX INVESTMENTS, LLC","KATALOX INVESTMENTS, LLC",HIDDEN,,,,01-4121-012-0442,0141210120442
FAUCTION01320800802702020017029CA01,06/28/2021,05/27/2021,2020-017029-CA-01,2020017029CA01,Accepting Proxy,,0,0,"KATALOX INVESTMENTS, LLC","KATALOX INVESTMENTS, LLC",HIDDEN,,,,01-3208-008-0270,0132080080270
FAUCTION01320800802802020017029CA01,06/28/2021,05/27/2021,2020-017029-CA-01,2020017029CA01,Accepting Proxy,,0,0,"KATALOX INVESTMENTS, LLC","KATALOX INVESTMENTS, LLC",HIDDEN,,,,01-3208-008-0280,0132080080280
FAUCTION01320800806902020017029CA01,06/28/2021,05/27/2021,2020-017029-CA-01,2020017029CA01,Accepting Proxy,,0,0,"KATALOX INVESTMENTS, LLC","KATALOX INVESTMENTS, LLC",HIDDEN,,,,01-3208-008-0690,0132080080690
FAUCTION01320701627102020017029CA01,06/28/2021,05/27/2021,2020-017029-CA-01,2020017029CA01,Accepting Proxy,,0,0,"KATALOX INVESTMENTS, LLC","KATALOX INVESTMENTS, LLC",HIDDEN,,,,01-3207-016-2710,0132070162710
