Sale Date,Add Date,Case Number,Formatted Case Number,Database ID,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
02/22/2021,02/03/2021,2019-022979-CA-01,2019022979CA01,FAUCTION28221009200012019022979CA01,Accepting Proxy,70422.54,0,0,"Villa Flora Homeowners' Association, Inc.","Villa Flora Homeowners' Association, Inc.",HIDDEN,,,,28-2210-092-0001,2822100920001
02/24/2021,02/01/2021,2019-004011-CA-01,2019004011CA01,FAUCTION30402000446202019004011CA01,Canceled,454132.2,0,200376,Deutsche Bank National Trust Company,Deutsche Bank National Trust Company,HIDDEN,9980 SW 47 ST,MIAMI,33165,30-4020-004-4620,3040200044620
03/01/2021,02/01/2021,2020-018087-CA-01,2020018087CA01,FAUCTION01410601200102020018087CA01,Accepting Proxy,24948.76,0,0,"JLM CAPITAL, LLC","JLM CAPITAL, LLC",HIDDEN,,,,01-4106-012-0010,0141060120010
03/03/2021,02/01/2021,2018-029679-CA-01,2018029679CA01,FAUCTION28220307612702018029679CA01,Accepting Proxy,30308.43,0,173567,VRMTG ASSET TRUST,VRMTG ASSET TRUST,HIDDEN,3029 NE 188 ST 616,AVENTURA,33180,28-2203-076-1270,2822030761270
03/08/2021,02/01/2021,2018-015009-CA-01,2018015009CA01,FAUCTION34210802100302018015009CA01,Accepting Proxy,474597.09,0,203139,NATIONSTAR MORTGAGE LLC ,NATIONSTAR MORTGAGE LLC ,HIDDEN,3921 NW 179 ST,MIAMI GARDENS,33055,34-2108-021-0030,3421080210030
03/08/2021,02/02/2021,2020-006262-CA-01,2020006262CA01,FAUCTION30305502303202020006262CA01,Accepting Proxy,234515,0,88182,Vannessa L Mejia LLC,Vannessa L Mejia LLC,HIDDEN,10201 FONTAINEBLEAU BLVD 202,MIAMI,33172,30-3055-023-0320,3030550230320
03/08/2021,02/02/2021,2019-012889-CA-01,2019012889CA01,FAUCTION30220504105902019012889CA01,Accepting Proxy,359572.73,0,103609,THE BANK OF NEW YORK MELLON,THE BANK OF NEW YORK MELLON,HIDDEN,1501 NE 191 ST C319,MIAMI,33179,30-2205-041-0590,3022050410590
03/08/2021,02/02/2021,2018-006125-CA-01,2018006125CA01,FAUCTION31221107405002018006125CA01,Accepting Proxy,380595.53,0,323549,VALLEY NATIONAL BANK,VALLEY NATIONAL BANK,HIDDEN,17315 COLLINS AVE 2003,SUNNY ISLES BEACH,33160,31-2211-074-0500,3122110740500
03/08/2021,02/01/2021,2018-032128-CA-01,2018032128CA01,FAUCTION30693200300702018032128CA01,Accepting Proxy,367122.51,0,193772,JPMORGAN CHASE BANK  NATIONAL ASSOC,JPMORGAN CHASE BANK  NATIONAL ASSOC,HIDDEN,27901 SW 161 AVE,MIAMI,33031,30-6932-003-0070,3069320030070
03/09/2021,02/05/2021,2020-002684-CC-25,2020002684CC25,FAUCTION30503102800702020002684CC25,Accepting Proxy,8127.26,0,0,"Seastone Townhomes Homeowners Association, Inc.","Seastone Townhomes Homeowners Association, Inc.",HIDDEN,,,,30-5031-028-0070,3050310280070
03/09/2021,02/03/2021,2017-024087-CA-01,2017024087CA01,FAUCTION35300700833002017024087CA01,Accepting Proxy,5554.88,0,255000,"Islands at Doral Master Association, Inc.","Islands at Doral Master Association, Inc.",HIDDEN,10821 NW 80 LN,DORAL,33178,35-3007-008-3300,3530070083300
