Database ID,Sale Date,Add Date,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
FAUCTION02323303304002019026072CA01,04/26/2021,04/06/2021,2019-026072-CA-01,2019026072CA01,Accepting Proxy,154171.14,0,90346,U S BANK TRUST NATIONAL ASSOCIATION,U S BANK TRUST NATIONAL ASSOCIATION,HIDDEN,1340 LINCOLN RD 509,MIAMI BEACH,33139,02-3233-033-0400,0232330330400
FAUCTION30600601110002018042953CA01,04/26/2021,04/08/2021,2018-042953-CA-01,2018042953CA01,Accepting Proxy,435540.04,0,152359,Bank of New York Mellon (THE),Bank of New York Mellon (THE),HIDDEN,11471 SW 197 ST,MIAMI,33157,30-6006-011-1000,3060060111000
FAUCTION03411900727702019033447CA01,04/27/2021,04/06/2021,2019-033447-CA-01,2019033447CA01,Accepting Proxy,2191448.24,0,865413,"EQUITY INVESTMENT FUND I, LLC","EQUITY INVESTMENT FUND I, LLC",HIDDEN,1526 ANCONA AVE,CORAL GABLES,33146,03-4119-007-2770,0341190072770
FAUCTION01420605216002020016589CC23,05/03/2021,04/06/2021,2020-016589-CC-23,2020016589CC23,Accepting Proxy,6303.28,0,226696,Brickell Key Master Assn Inc,Brickell Key Master Assn Inc,HIDDEN,520 BRICKELL KEY DR A-1011,MIAMI,33131,01-4206-052-1600,0142060521600
FAUCTION30223202002102016018065CA01,05/03/2021,04/06/2021,2016-018065-CA-01,2016018065CA01,Accepting Proxy,276138.32,0,94352,BANK OF NEW YORK MELLON (THE),BANK OF NEW YORK MELLON (THE),HIDDEN,1470 NE 118 ST,MIAMI,33161,30-2232-020-0210,3022320200210
FAUCTION01410300606502019014180CA01,05/03/2021,04/06/2021,2019-014180-CA-01,2019014180CA01,Accepting Proxy,423481.82,0,337279,"Huston (TR) Jr , Tom","Huston (TR) Jr , Tom",HIDDEN,1829 NW 5 ST,MIAMI,33125,01-4103-006-0650,0141030060650
FAUCTION30401803300202018026749CA01,05/03/2021,04/06/2021,2018-026749-CA-01,2018026749CA01,Accepting Proxy,393453.98,0,342848,THE BANK OF NEW YORK MELLON,THE BANK OF NEW YORK MELLON,HIDDEN,2585 SW 108 AVE,MIAMI,33165,30-4018-033-0020,3040180330020
FAUCTION01321800500402020017637CA01,05/03/2021,04/06/2021,2020-017637-CA-01,2020017637CA01,Accepting Proxy,492239.54,0,463273,"U.S. Bank Trust National Association, as trustee","U.S. Bank Trust National Association, as trustee",HIDDEN,631 NE 69 ST,MIAMI,33138,01-3218-005-0040,0132180050040
FAUCTION30790903104202020005485CA01,05/03/2021,04/06/2021,2020-005485-CA-01,2020005485CA01,Accepting Proxy,167085.09,0,70485,Citibank NA Not In Its Individual Capacity But Sol,Citibank NA Not In Its Individual Capacity But Sol,HIDDEN,30701 SW 155 AVE,MIAMI,33033,30-7909-031-0420,3079090310420
FAUCTION28123508815102020019070CA01,05/03/2021,04/06/2021,2020-019070-CA-01,2020019070CA01,Accepting Proxy,274993.18,0,279200,BAC Florida Bank,BAC Florida Bank,HIDDEN,20000 E COUNTRY CLUB DR 212,AVENTURA,33180,28-1235-088-1510,2812350881510
FAUCTION30400300104802019033390CA01,05/03/2021,04/06/2021,2019-033390-CA-01,2019033390CA01,Accepting Proxy,224294.02,0,311931,"LURTON CAPITAL, LLC","LURTON CAPITAL, LLC",HIDDEN,154 SW 78 PL,MIAMI,33144,30-4003-001-0480,3040030010480
FAUCTION34211000103902020021423CA01,05/03/2021,04/06/2021,2020-021423-CA-01,2020021423CA01,Accepting Proxy,2828670.04,0,210714,"NOBLE-IN-DEEDS, L.L.C.","NOBLE-IN-DEEDS, L.L.C.",HIDDEN,18140 NW 19 AVE,MIAMI GARDENS,33056,34-2110-001-0390,3421100010390
FAUCTION02323305000402019010622CA01,05/04/2021,04/08/2021,2019-010622-CA-01,2019010622CA01,Accepting Proxy,299542.57,0,197000,BANK OF NEW YORK MELLON TRUST COMPANY NA,BANK OF NEW YORK MELLON TRUST COMPANY NA,HIDDEN,1245 WEST AVE 501,MIAMI BEACH,33139,02-3233-050-0040,0232330500040
