Database ID,Sale Date,Add Date,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
PFORCLS01410304009502019028103CA01,05/17/2021,04/12/2021,2019-028103-CA-01,2019028103CA01,Accepting Proxy,357774.18,0,281247,LH-NP-STRAT DELAWARE OWNER TRUST,LH-NP-STRAT DELAWARE OWNER TRUST,HIDDEN,2822 SW 1 ST,MIAMI,33135,01-4103-040-0950,0141030400950
PFORCLS30492600203402018033486CA01,05/17/2021,04/12/2021,2018-033486-CA-01,2018033486CA01,Accepting Proxy,501018.75,0,237843,WELLS FARGO BANK N A,WELLS FARGO BANK N A,HIDDEN,13423 SW 66 TER,MIAMI,33183,30-4926-002-0340,3049260020340
PFORCLS30500300010342017029079CA01,05/17/2021,04/13/2021,2017-029079-CA-01,2017029079CA01,Accepting Proxy,1266865.47,0,748732,"HMC ASSETS, LLC ","HMC ASSETS, LLC ",HIDDEN,8471 SW 100 ST,MIAMI,33156,30-5003-000-1034,3050030001034
PFORCLS10792900704202019013953CA01,05/17/2021,04/13/2021,2019-013953-CA-01,2019013953CA01,Accepting Proxy,9957.21,0,83187,"Venetia Gardens Condominum Association, Inc","Venetia Gardens Condominum Association, Inc",HIDDEN,1250 SE 26 ST 203,HOMESTEAD,33035,10-7929-007-0420,1079290070420
PFORCLS01413812702602020002410CA01,05/17/2021,04/13/2021,2020-002410-CA-01,2020002410CA01,Accepting Proxy,708531.04,0,714555,BankUnited NA,BankUnited NA,HIDDEN,175 SW 7 ST 1212,MIAMI,33130,01-4138-127-0260,0141381270260
PFORCLS30311210601302017010107CA01,05/18/2021,04/13/2021,2017-010107-CA-01,2017010107CA01,Accepting Proxy,244306.02,0,84244,"Sunset Palm Villas Condominium Association, Inc.","Sunset Palm Villas Condominium Association, Inc.",HIDDEN,225 NW 84 TER 225,MIAMI,33150,30-3112-106-0130,3031121060130
PFORCLS30491400202162013034191CA01,05/18/2021,04/14/2021,2013-034191-CA-01,2013034191CA01,Accepting Proxy,2281137.45,0,955130,"U S Bank Trust N A,","U S Bank Trust N A,",HIDDEN,13531 SW 34 ST,MIAMI,33175,30-4914-002-0216,3049140020216
PFORCLS31221402115202017028538CA01,05/18/2021,04/13/2021,2017-028538-CA-01,2017028538CA01,Accepting Proxy,920891.81,0,519200,BANK OF NEW YORK MELLON (THE),BANK OF NEW YORK MELLON (THE),HIDDEN,441 POINCIANA ISLAND DR 1520,SUNNY ISLES BEACH,33160,31-2214-021-1520,3122140211520
PFORCLS34211100811702014003713CA01,05/18/2021,04/14/2021,2014-003713-CA-01,2014003713CA01,Accepting Proxy,298532.52,0,93111,Specialized Loan Servicing LLC,Specialized Loan Servicing LLC,HIDDEN,1340 NW 179 ST,MIAMI GARDENS,33169,34-2111-008-1170,3421110081170
PFORCLS17223205700402009083717CA01,05/24/2021,04/13/2021,2009-083717-CA-01,2009083717CA01,Accepting Proxy,458165.37,0,278980,"Aurora Loan Services Llc,","Aurora Loan Services Llc,",HIDDEN,1001 NE 110 ST,BISCAYNE PARK,33161,17-2232-057-0040,1722320570040
PFORCLS08212203910702019003359CC25,05/26/2021,04/13/2021,2019-003359-CC-25,2019003359CC25,Accepting Proxy,11426.18,0,136001,"The Mirage at Sailboat Cove Homeowners Association, Inc.","The Mirage at Sailboat Cove Homeowners Association, Inc.",HIDDEN,1823 NW 142 LN,OPA-LOCKA,33054,08-2122-039-1070,0821220391070
PFORCLS30201108123402019019481CC23,05/26/2021,04/14/2021,2019-019481-CC-23,2019019481CC23,Accepting Proxy,13215.65,0,109200,Antigua At Country Club Of Miami Condo Assn Inc,Antigua At Country Club Of Miami Condo Assn Inc,HIDDEN,17455 NW 67 CT B-17,MIAMI,33015,30-2011-081-2340,3020110812340
