Database ID,Sale Date,Add Date,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
PFORCLS01411100502302019012325CA01,05/25/2021,04/26/2021,2019-012325-CA-01,2019012325CA01,Accepting Proxy,577245.9,0,285904,ANCHOR FUND LLC,ANCHOR FUND LLC,HIDDEN,1001 SW 15 AVE,MIAMI,33135,01-4111-005-0230,0141110050230
PFORCLS01413706309702021001932CA01,05/25/2021,04/28/2021,2021-001932-CA-01,2021001932CA01,Accepting Proxy,24926.95,0,334745,"The Ivy Condominium Association, Inc.","The Ivy Condominium Association, Inc.",HIDDEN,90 SW 3 ST 4203,MIAMI,33130,01-4137-063-0970,0141370630970
PFORCLS31221108009802020012588CA01,05/25/2021,04/28/2021,2020-012588-CA-01,2020012588CA01,Accepting Proxy,27835.73,0,509000,18201 COLLINS AVENUE CONDOMINIUM ASSOCIATION INC,18201 COLLINS AVENUE CONDOMINIUM ASSOCIATION INC,HIDDEN,18201 COLLINS AVE 4302,SUNNY ISLES BEACH,33160,31-2211-080-0980,3122110800980
PFORCLS30201108123402020020387CA01,06/01/2021,04/27/2021,2020-020387-CA-01,2020020387CA01,Accepting Proxy,120356.06,0,109200,"Rodriguez, Richard","Rodriguez, Richard",HIDDEN,17455 NW 67 CT B-17,MIAMI,33015,30-2011-081-2340,3020110812340
PFORCLS35300700210302019006895CA01,06/01/2021,04/27/2021,2019-006895-CA-01,2019006895CA01,Accepting Proxy,465178.18,0,327000,US BANK TRUST NATIONAL ASSOCIATION,US BANK TRUST NATIONAL ASSOCIATION,HIDDEN,11375 NW 77 LN,DORAL,33178,35-3007-002-1030,3530070021030
PFORCLS01312404800302020005045CA01,06/01/2021,04/27/2021,2020-005045-CA-01,2020005045CA01,Accepting Proxy,620773.29,0,0,"DS JORDAN CONSTRUCTION, INC.","DS JORDAN CONSTRUCTION, INC.",HIDDEN,156 NE 41 ST ,MIAMI,33137,01-3124-048-0030,0131240480030
PFORCLS30200302314102019020024CA01,06/01/2021,04/27/2021,2019-020024-CA-01,2019020024CA01,Accepting Proxy,355489.05,0,0,U.S. BANK TRUST NATIONAL ASSOCIATION AS TRUSTEE,U.S. BANK TRUST NATIONAL ASSOCIATION AS TRUSTEE,HIDDEN,,,,30-2003-023-1410,3020030231410
PFORCLS30400403100302019035603CA01,06/01/2021,04/27/2021,2019-035603-CA-01,2019035603CA01,Accepting Proxy,231582.52,0,141750,"BANK OF NEW YORK MELLON TRUST COMPANY, N.A. (TR)","BANK OF NEW YORK MELLON TRUST COMPANY, N.A. (TR)",HIDDEN,8893 FONTAINEBLEAU BLVD 103,MIAMI,33172,30-4004-031-0030,3040040310030
PFORCLS20403503902702020018070CA01,06/01/2021,04/27/2021,2020-018070-CA-01,2020018070CA01,Accepting Proxy,151613.46,0,129100,Bank of New York Mellon The,Bank of New York Mellon The,HIDDEN,6709 N KENDALL DR 207,PINECREST,33143,20-4035-039-0270,2040350390270
PFORCLS30220601501402020010328CA01,06/01/2021,04/27/2021,2020-010328-CA-01,2020010328CA01,Accepting Proxy,74847.1,0,13900,"LoanCare, LLC","LoanCare, LLC",HIDDEN,18975 NE 2 AVE 1215,MIAMI,33179,30-2206-015-0140,3022060150140
PFORCLS30501900304402019034713CA01,06/02/2021,04/28/2021,2019-034713-CA-01,2019034713CA01,Accepting Proxy,204432.76,0,174328,MADISON ALAMOSA HECM LLC,MADISON ALAMOSA HECM LLC,HIDDEN,14801 BUCHANAN ST,MIAMI,33176,30-5019-003-0440,3050190030440
PFORCLS06222907509402019030668CA01,06/02/2021,04/29/2021,2019-030668-CA-01,2019030668CA01,Accepting Proxy,8824.76,0,40588,"THREE HORIZONS, NORTH, CONDOMINIUM, INC.","THREE HORIZONS, NORTH, CONDOMINIUM, INC.",HIDDEN,1470 NE 125 TER 903,NORTH MIAMI,33161,06-2229-075-0940,0622290750940
