Sale Date,Add Date,Case Number,Formatted Case Number,Database ID,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
02/24/2021,01/25/2021,2020-011037-CA-01,2020011037CA01,FAUCTION30681200001712020011037CA01,Accepting Proxy,315060.45,0,416224,"CAMELOT HOLDINGS OF  DELAWARE, LLC","CAMELOT HOLDINGS OF  DELAWARE, LLC",HIDDEN,18501 SW 208 ST,MIAMI,33187,30-6812-000-0171,3068120000171
03/01/2021,01/25/2021,2020-001548-CA-01,2020001548CA01,FAUCTION01323104801952020001548CA01,Accepting Proxy,22229.1,0,348550,"Grand Condominium Association, Inc. (The)","Grand Condominium Association, Inc. (The)",HIDDEN,1717 N BAYSHORE DR A-3636,MIAMI,33132,01-3231-048-0195,0132310480195
03/01/2021,01/26/2021,2015-003438-CC-23,2015003438CC23,FAUCTION34113503141302015003438CC23,Canceled,22889.29,0,318231,Coconut Cay Homeowners Assn Inc,Coconut Cay Homeowners Assn Inc,HIDDEN,939 NW 206 ST,MIAMI GARDENS,33169,34-1135-031-4130,3411350314130
03/01/2021,01/25/2021,2016-030421-CA-01,2016030421CA01,FAUCTION30493201311202016030421CA01,Accepting Proxy,155540.88,0,338833,BANK OF AMERICA NA,BANK OF AMERICA NA,HIDDEN,16094 SW 77 TER,MIAMI,33193,30-4932-013-1120,3049320131120
03/01/2021,01/25/2021,2020-002800-CC-25,2020002800CC25,FAUCTION08212203912802020002800CC25,Accepting Proxy,15931,0,0,"Homeowners Association, Inc., The Mirage at Sailboat Cove","Homeowners Association, Inc., The Mirage at Sailboat Cove",HIDDEN,,,,08-2122-039-1280,0821220391280
03/01/2021,01/27/2021,2020-017637-CA-01,2020017637CA01,FAUCTION01321800500402020017637CA01,Accepting Proxy,86966.06,0,463273,"U.S. Bank Trust National Association, as trustee","U.S. Bank Trust National Association, as trustee",HIDDEN,631 NE 69 ST,MIAMI,33138,01-3218-005-0040,0132180050040
03/01/2021,01/27/2021,2019-009475-CA-01,2019009475CA01,FAUCTION10790800108102019009475CA01,Accepting Proxy,187506.54,0,50168,US BANK NATIONAL ASSOCIATION ,US BANK NATIONAL ASSOCIATION ,HIDDEN,1550 NE 11 ST,HOMESTEAD,33033,10-7908-001-0810,1079080010810
03/01/2021,01/27/2021,2020-010965-CC-26,2020010965CC26,FAUCTION30782501112002020010965CC26,Accepting Proxy,7579.77,0,73128,Gateway Estates Park Condo Assoc Inc,Gateway Estates Park Condo Assoc Inc,HIDDEN,35250 SW 177 CT 120,MIAMI,33034,30-7825-011-1200,3078250111200
03/02/2021,01/27/2021,2019-028413-CA-01,2019028413CA01,FAUCTION01321805306302019028413CA01,Accepting Proxy,61076.25,0,870048,"Palm Bay Towers Condominium Association, Inc.","Palm Bay Towers Condominium Association, Inc.",HIDDEN,720 NE 69 ST 24W,MIAMI,33138,01-3218-053-0630,0132180530630
03/02/2021,01/26/2021,2009-051814-CA-01,2009051814CA01,FAUCTION30501606104002009051814CA01,Accepting Proxy,1415955.68,0,685185,"Wells Fargo Bank N A,","Wells Fargo Bank N A,",HIDDEN,9513 SW 125 TER,MIAMI,33176,30-5016-061-0400,3050160610400
03/02/2021,01/26/2021,2019-031188-CA-01,2019031188CA01,FAUCTION35302202403502019031188CA01,Accepting Proxy,5188.33,0,0,MARRIOTT RESORTS HOSPITALITY CORPORATION,MARRIOTT RESORTS HOSPITALITY CORPORATION,HIDDEN,,,,35-3022-024-0350,3530220240350
03/02/2021,01/28/2021,2019-027429-CA-01,2019027429CA01,FAUCTION06222801204002019027429CA01,Accepting Proxy,1111209.62,0,881512,U.S. BANK NATIONAL ASSOCIATION,U.S. BANK NATIONAL ASSOCIATION,HIDDEN,12900 CHERRY RD,NORTH MIAMI,33181,06-2228-012-0400,0622280120400
03/02/2021,01/28/2021,2018-015936-CA-01,2018015936CA01,FAUCTION28123501107202018015936CA01,Accepting Proxy,215272.12,0,118000,US BANK NATIONAL ASSOCIATION ,US BANK NATIONAL ASSOCIATION ,HIDDEN,3401 N COUNTRY CLUB DR EI506,AVENTURA,33180,28-1235-011-0720,2812350110720
