Database ID,Sale Date,Add Date,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
TAXACT30782600607002020A01399,04/22/2021,04/14/2021,2020A01399,Canceled,0,-138.73,,,,HIDDEN,VACANT LOT,MIAMI,33034-0000,30-7826-006-0700,3078260060700
TAXACT30500203102502021A00196,06/10/2021,04/14/2021,2021A00196,Accepting Proxy,0,9267.89,108247,,,HIDDEN,9175 SW 77 AVE,MIAMI,33156-7671,30-5002-031-0250,3050020310250
TAXACT30591400701902021A00197,06/10/2021,04/14/2021,2021A00197,Accepting Proxy,0,7167.46,103923,,,HIDDEN,12123 SW 131 AVE,MIAMI,33186-6473,30-5914-007-0190,3059140070190
TAXACT12222601503202021A00248,06/10/2021,04/14/2021,2021A00248,Accepting Proxy,0,24473.24,362900,,,HIDDEN,10160 COLLINS AVE,BAL HARBOUR,33154-1654,12-2226-015-0320,1222260150320
TAXACT28123508816902021A00199,06/10/2021,04/14/2021,2021A00199,Accepting Proxy,0,24606.35,276100,,,HIDDEN,20000 E COUNTRY CLUB DR,AVENTURA,33180-3004,28-1235-088-1690,2812350881690
TAXACT30311500522402021A00231,06/10/2021,04/15/2021,2021A00231,Accepting Proxy,0,2259.67,25241,,,HIDDEN,VACANT LOT,MIAMI,33147-7437,30-3115-005-2240,3031150052240
TAXACT04301100700702021A00232,06/10/2021,04/15/2021,2021A00232,Accepting Proxy,0,1811.24,58770,,,HIDDEN,VACANT LOT,HIALEAH,33010-0000,04-3011-007-0070,0430110070070
TAXACT30305207520102021A00242,06/10/2021,04/15/2021,2021A00242,Accepting Proxy,0,3570.6,26520,,,HIDDEN,777 NW 72 AVE,MIAMI,33126-3009,30-3052-075-2010,3030520752010
TAXACT30310302501002021A00243,06/10/2021,04/15/2021,2021A00243,Accepting Proxy,0,3723.59,70427,,,HIDDEN,VACANT LOT,MIAMI,33147-3850,30-3103-025-0100,3031030250100
TAXACT30492901208002021A00245,06/10/2021,04/15/2021,2021A00245,Accepting Proxy,0,3973.85,14889,,,HIDDEN,VACANT LOT,MIAMI,33193-4448,30-4929-012-0800,3049290120800
TAXACT01313412417602021A00246,06/10/2021,04/15/2021,2021A00246,Accepting Proxy,0,22845.38,257161,,,HIDDEN,1861 NW S RIVER DR,MIAMI,33125-2772,01-3134-124-1760,0131341241760
TAXACT01410502802402020A01193,06/10/2021,04/15/2021,2020A01193,Accepting Proxy,0,25417.82,271654,,,HIDDEN,4491 SW 1 ST,MIAMI,33134-1520,01-4105-028-0240,0141050280240
TAXACT12222604604402021A00200,06/10/2021,04/15/2021,2021A00200,Accepting Proxy,0,31208.43,339651,,,HIDDEN,10295 COLLINS AVE,BAL HARBOUR,33154-0000,12-2226-046-0440,1222260460440
TAXACT25303104431202021A00201,06/10/2021,04/15/2021,2021A00201,Accepting Proxy,0,6963.49,52476,,,HIDDEN,1750 NW 107 AVE,SWEETWATER,33172-0000,25-3031-044-3120,2530310443120
TAXACT01413816309802021A00202,06/10/2021,04/15/2021,2021A00202,Accepting Proxy,0,24705.55,281880,,,HIDDEN,55 SW 9 ST,MIAMI,33130-4197,01-4138-163-0980,0141381630980
TAXACT01323009706102021A00203,06/10/2021,04/15/2021,2021A00203,Accepting Proxy,0,23390.69,464675,,,HIDDEN,600 NE 27 ST,MIAMI,33137-4654,01-3230-097-0610,0132300970610
TAXACT02321102235202021A00249,06/10/2021,04/16/2021,2021A00249,Accepting Proxy,0,18276.06,238000,,,HIDDEN,7135 COLLINS AVE,MIAMI BEACH,33141-3211,02-3211-022-3520,0232110223520
TAXACT31220203424502021A00180,06/10/2021,04/12/2021,2021A00180,Accepting Proxy,0,6018.15,81720,,,HIDDEN,19201 COLLINS AVE,SUNNY ISLES BEACH,33160-2202,31-2202-034-2450,3122020342450
TAXACT34210401612702021A00186,06/10/2021,04/12/2021,2021A00186,Accepting Proxy,0,20692.53,34758,,,HIDDEN,2831 NW 195 ST,MIAMI GARDENS,33056-2424,34-2104-016-1270,3421040161270
TAXACT01313608314302021A00188,06/10/2021,04/12/2021,2021A00188,Accepting Proxy,0,6292.14,85179,,,HIDDEN,1981 NW 5 PL,MIAMI,33136-1225,01-3136-083-1430,0131360831430
TAXACT30311103800602021A00214,06/10/2021,04/12/2021,2021A00214,Accepting Proxy,0,2672.69,7086,,,HIDDEN,VACANT LOT,MIAMI,33147-0000,30-3111-038-0060,3031110380060
TAXACT04311800337602021A00189,06/10/2021,04/13/2021,2021A00189,Accepting Proxy,0,20545.02,249005,,,HIDDEN,260 E 17 ST,HIALEAH,33010-3138,04-3118-003-3760,0431180033760
TAXACT30311103800702021A00215,06/10/2021,04/13/2021,2021A00215,Accepting Proxy,0,2665.03,7086,,,HIDDEN,VACANT LOT,MIAMI,33147-0000,30-3111-038-0070,3031110380070
TAXACT04310500123302021A00190,06/10/2021,04/13/2021,2021A00190,Accepting Proxy,0,124962.59,224870,,,HIDDEN,4660 E 8 LN,HIALEAH,33013-2008,04-3105-001-2330,0431050012330
TAXACT30691203217102021A00233,06/10/2021,04/13/2021,2021A00233,Accepting Proxy,0,14838.8,138206,,,HIDDEN,20962 SW 123 AVE,MIAMI,33177-5746,30-6912-032-1710,3069120321710
TAXACT08212801400102021A00192,06/10/2021,04/13/2021,2021A00192,Accepting Proxy,0,17235.11,156915,,,HIDDEN,13297 ASWAN RD,OPA-LOCKA,33054-4845,08-2128-014-0010,0821280140010
TAXACT30312800607802021A00195,06/10/2021,04/13/2021,2021A00195,Accepting Proxy,0,23286.95,310614,,,HIDDEN,VACANT LOT,MIAMI,33142-7010,30-3128-006-0780,3031280060780
TAXACT35302005737502021A00241,06/10/2021,04/13/2021,2021A00241,Accepting Proxy,0,14105.25,170000,,,HIDDEN,9748 NW 49 TER,DORAL,33178-1962,35-3020-057-3750,3530200573750
