Database ID,Sale Date,Add Date,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
TAXACT01311402500402020A00438,07/08/2021,05/03/2021,2020A00438,Canceled,0,1925.55,74280,,,HIDDEN,1168 NW 62 ST,MIAMI,33150-4219,01-3114-025-0040,0131140250040
TAXACT09402500701502021A00217,07/08/2021,05/03/2021,2021A00217,Accepting Proxy,0,16983.74,43200,,,HIDDEN,VACANT LOT,SOUTH MIAMI,33143-2204,09-4025-007-0150,0940250070150
TAXACT10781304902102021A00224,07/08/2021,05/03/2021,2021A00224,Accepting Proxy,0,18634.52,180598,,,HIDDEN,606 SW 5 AVE,HOMESTEAD,33030-7140,10-7813-049-0210,1078130490210
TAXACT01313602108102021A00223,07/08/2021,05/03/2021,2021A00223,Accepting Proxy,0,19594.49,158115,,,HIDDEN,225 NW 14 TER,MIAMI,33136-1817,01-3136-021-0810,0131360210810
TAXACT30211401007602020A01263,07/08/2021,05/03/2021,2020A01263,Accepting Proxy,0,4756.63,51989,,,HIDDEN,15600 NW 7 AVE,MIAMI,33169-6251,30-2114-010-0760,3021140100760
TAXACT30311005311402021A00218,07/08/2021,05/03/2021,2021A00218,Accepting Proxy,0,15739.2,198188,,,HIDDEN,2390 NW 78 ST,MIAMI,33147-5538,30-3110-053-1140,3031100531140
TAXACT30402000000202021A00219,07/08/2021,05/03/2021,2021A00219,Accepting Proxy,0,1279.41,2973113,,,HIDDEN,4101 SW 107 AVE,MIAMI,33165-3613,30-4020-000-0020,3040200000020
TAXACT30693500100502020A01283,07/08/2021,05/04/2021,2020A01283,Accepting Proxy,0,10328.35,139162,,,HIDDEN,26721 SW 134 AVE,MIAMI,33032-7734,30-6935-001-0050,3069350010050
TAXACT06223007803802020A01291,07/08/2021,05/04/2021,2020A01291,Accepting Proxy,0,4126.05,34663,,,HIDDEN,12955 NE 6 AVE,NORTH MIAMI,33161-7751,06-2230-078-0380,0622300780380
TAXACT01311401209802021A00222,07/08/2021,05/04/2021,2021A00222,Accepting Proxy,0,33550.71,51870,,,HIDDEN,1067 NW 61 ST,MIAMI,33127-1045,01-3114-012-0980,0131140120980
TAXACT07221005102702021A00168,07/08/2021,05/04/2021,2021A00168,Accepting Proxy,0,12445.67,142200,,,HIDDEN,3527 NE 168 ST,NORTH MIAMI BEACH,33160-3598,07-2210-051-0270,0722100510270
TAXACT10790804302602021A00139,07/08/2021,05/04/2021,2021A00139,Accepting Proxy,0,4171.15,46162,,,HIDDEN,1531 NE 8 ST,HOMESTEAD,33033-4662,10-7908-043-0260,1079080430260
TAXACT30220503749102021A00171,07/08/2021,05/04/2021,2021A00171,Accepting Proxy,0,7572.93,81409,,,HIDDEN,1351 NE MIAMI GARDENS DR,MIAMI,33179-4719,30-2205-037-4910,3022050374910
TAXACT34210401803802021A00135,07/08/2021,05/04/2021,2021A00135,Accepting Proxy,0,11290.02,62417,,,HIDDEN,19622 NW 30 PL,MIAMI GARDENS,33056-2415,34-2104-018-0380,3421040180380
TAXACT10781400622202021A00137,07/08/2021,05/04/2021,2021A00137,Accepting Proxy,0,6979.63,152533,,,HIDDEN,669 SW 17 TER,HOMESTEAD,33030-6600,10-7814-006-2220,1078140062220
TAXACT07220700719202021A00167,07/08/2021,05/04/2021,2021A00167,Accepting Proxy,0,17094.9,164045,,,HIDDEN,320 NE 173 ST,NORTH MIAMI BEACH,33162-1870,07-2207-007-1920,0722070071920
TAXACT08212203205102021A00138,07/08/2021,05/04/2021,2021A00138,Accepting Proxy,0,13509.11,93066,,,HIDDEN,2239 NW 135 TER,OPA-LOCKA,33054-4020,08-2122-032-0510,0821220320510
TAXACT30123107200702021A00170,07/08/2021,05/04/2021,2021A00170,Accepting Proxy,0,27755.56,52093,,,HIDDEN,919 NE 199 ST,MIAMI,33179-5838,30-1231-072-0070,3012310720070
TAXACT30601800000702021A00176,07/08/2021,05/04/2021,2021A00176,Accepting Proxy,0,23105.47,263905,,,HIDDEN,21640 SW 112 AVE,MIAMI,33170-3028,30-6018-000-0070,3060180000070
TAXACT01312508023002021A00166,07/08/2021,05/04/2021,2021A00166,Accepting Proxy,0,40096.65,354197,,,HIDDEN,3470 E COAST AVE,MIAMI,33137-3982,01-3125-080-2300,0131250802300
TAXACT30311207601202021A00175,07/08/2021,05/05/2021,2021A00175,Accepting Proxy,0,19831.19,190243,,,HIDDEN,174 NW 83 ST,MIAMI,33150-2613,30-3112-076-0120,3031120760120
TAXACT30491501305302021A00178,07/08/2021,05/05/2021,2021A00178,Accepting Proxy,0,27890.15,371949,,,HIDDEN,2981 SW 141 CT,MIAMI,33175-6528,30-4915-013-0530,3049150130530
TAXACT28123402700802021A00169,07/08/2021,05/06/2021,2021A00169,Accepting Proxy,0,4123.27,95000,,,HIDDEN,2825 NE 201 TER,AVENTURA,33180-4103,28-1234-027-0080,2812340270080
TAXACT30223103801702021A00173,07/08/2021,05/06/2021,2021A00173,Accepting Proxy,0,4075.71,42750,,,HIDDEN,VACANT LOT,MIAMI,33161-0000,30-2231-038-0170,3022310380170
TAXACT30502001807802021A00177,07/08/2021,05/06/2021,2021A00177,Accepting Proxy,0,10857.01,132305,,,HIDDEN,14520 SW 105 AVE,MIAMI,33176-8805,30-5020-018-0780,3050200180780
TAXACT08212203400402021A00226,07/08/2021,05/06/2021,2021A00226,Accepting Proxy,0,9099.34,72636,,,HIDDEN,13791 NW 19 AVE,OPA-LOCKA,33054-4215,08-2122-034-0040,0821220340040
TAXACT30305207525402021A00227,07/08/2021,05/06/2021,2021A00227,Accepting Proxy,0,3375.05,30800,,,HIDDEN,777 NW 72 AVE,MIAMI,33126-3009,30-3052-075-2540,3030520752540
TAXACT30310301406502021A00228,07/08/2021,05/06/2021,2021A00228,Accepting Proxy,0,13486.43,104170,,,HIDDEN,2380 NW 102 ST,MIAMI,33147-1743,30-3103-014-0650,3031030140650
TAXACT30691200802902020A01398,07/08/2021,05/06/2021,2020A01398,Accepting Proxy,0,3043.01,25824,,,HIDDEN,VACANT LOT,MIAMI,33170-2853,30-6912-008-0290,3069120080290
TAXACT30311500554102020A01401,07/08/2021,05/07/2021,2020A01401,Accepting Proxy,0,8231.01,9825,,,HIDDEN,VACANT LOT,MIAMI,33147-0000,30-3115-005-5410,3031150055410
